key	Nazollae_Acaroliniana_1	Nazollae_Acaroliniana_2	Nazollae_Afiliculoides_lab	Nazollae_Afiliculoides_lab_nanopore	Nazollae_Afiliculoides_reference_0708	Nazollae_Afiliculoides_wild	Nazollae_Amexicana	Nazollae_Anilotica	Nazollae_Apinnata_nanopore	Nazollae_Arubra	Nazollae_Asp_nanopore	Nazollae_microphylla
Nazollae_Acaroliniana_1	1.0	0.9879184561149962	0.9219700086159776	0.9636383481487719	0.9640778522330838	0.9349414759677842	0.9398584092213725	0.8248160865443882	0.8047281349133371	0.9283988834675238	0.5318485190494394	0.9365303301748064
Nazollae_Acaroliniana_2	0.9840984771657836	1.0	0.9187355580881748	0.9615345125801464	0.961981716550027	0.9325216184287732	0.9410455578438562	0.8238929471021581	0.8052833591800655	0.9268129476306648	0.5326941176640324	0.9361124741622358
Nazollae_Afiliculoides_lab	0.9239216496984587	0.9261664106651052	1.0	0.9962370558647383	0.9962465358155908	0.9893108959423126	0.9305093536304205	0.819300818766052	0.7944673162532714	0.9474034406275106	0.5070912351775074	0.9286399959001342
Nazollae_Afiliculoides_lab_nanopore	0.814746055765975	0.8247191930218868	0.8300176036978959	1.0	0.9984570591235739	0.8554772811561496	0.8124328976391142	0.720920459699967	0.7212060008411328	0.8433626768635041	0.5260537343817373	0.8053773237946082
Nazollae_Afiliculoides_reference_0708	0.8175617960631801	0.8258974739421703	0.8297377959649102	0.9991759401773399	1.0	0.854839706630447	0.816063477517009	0.7267310082549707	0.7254991665351698	0.8450879545673874	0.5306035439661372	0.808178676461491
Nazollae_Afiliculoides_wild	0.9177441279052696	0.9192866016292486	0.9679946935829502	0.9965801226840912	0.9969202333438979	1.0	0.9225155350074323	0.8135497493247764	0.7912156991844356	0.9368669713635632	0.5093808661593587	0.9199096363772379
Nazollae_Amexicana	0.9076220683764183	0.9120965206062356	0.89259494898524	0.935024456704218	0.9354928421253709	0.9044982540953588	1.0	0.8035937807865196	0.7840231073080509	0.8996855223402962	0.5058051501499372	0.9662995900388422
Nazollae_Anilotica	0.8118770396747296	0.8139935528944952	0.802604454549551	0.8344302568940567	0.8347912875524782	0.8122208895675179	0.8191397631426336	1.0	0.8702611468367095	0.8061413632344325	0.45456895220718646	0.8151396471129303
Nazollae_Apinnata_nanopore	0.7360064577311906	0.7353745104634658	0.7193835771429153	0.7732512462354068	0.7735121708170513	0.7307343394173683	0.7416932452738884	0.809235924561261	1.0	0.7298780558098956	0.4335982008978537	0.7359246620820105
Nazollae_Arubra	0.9310813070913377	0.9338705183587592	0.9469996866058987	0.9866434321327752	0.98679741089477	0.9592982221013447	0.9365869305453636	0.8248892273226573	0.8049026428568367	1.0	0.5189779387553518	0.9332235961640487
Nazollae_Asp_nanopore	0.8604193430936294	0.8631613764808806	0.8181053511540448	0.9235267327432765	0.923334760386894	0.8430371681217597	0.8417694719501315	0.7470633154363427	0.7462910262037231	0.8414778407955849	1.0	0.8385895623441817
Nazollae_microphylla	0.9082098385816054	0.9102482219151027	0.896458908558498	0.9345931142602305	0.9351718524407674	0.9071227223436436	0.969800657730578	0.8047051518225297	0.7837407023105081	0.900176271425811	0.5042044757426009	1.0
