key	Nazollae_Acaroliniana_1	Nazollae_Acaroliniana_2	Nazollae_Afiliculoides_lab	Nazollae_Afiliculoides_lab_nanopore	Nazollae_Afiliculoides_reference_0708	Nazollae_Afiliculoides_wild	Nazollae_Amexicana	Nazollae_Anilotica	Nazollae_Apinnata_nanopore	Nazollae_Arubra	Nazollae_Asp_nanopore	Nazollae_microphylla
Nazollae_Acaroliniana_1	1.0	0.9883912501760029	0.9401900533985477	0.9835775963464555	0.9837345633191581	0.9534941741431582	0.9592751528939137	0.8775506601333241	0.8640625604843941	0.9470110978627394	0.5368206658717644	0.9559299272209232
Nazollae_Acaroliniana_2	0.9846328889054593	1.0	0.9368307128689758	0.9814288477251096	0.9816046727948412	0.951160879726967	0.9606448416208021	0.8765676234869246	0.8647555681998966	0.9454965585949755	0.5376586582937215	0.9556558582265267
Nazollae_Afiliculoides_lab	0.9421681360615133	0.9445221341503466	1.0	0.9968383114778065	0.9965713413975248	0.9896091430896066	0.9500651534124497	0.8716037062227335	0.8524443653421985	0.9521608685426611	0.519066960757517	0.948177293559029
Nazollae_Afiliculoides_lab_nanopore	0.8324504330640342	0.8430270845631133	0.8309396643672052	1.0	0.9988990974232527	0.8574842134382358	0.8307797476037898	0.7685307406850754	0.7765102422965863	0.8498149249353254	0.5412445481271405	0.823417767932278
Nazollae_Afiliculoides_reference_0708	0.8350468316094453	0.8439210046398701	0.8305742921486764	0.9996562249083828	1.0	0.8565641265405854	0.8342665022524924	0.7746824044935013	0.7807325544621952	0.8513575561710455	0.5454950607393716	0.8260261075855633
Nazollae_Afiliculoides_wild	0.9362788292903901	0.9378536823635435	0.9685909517797967	0.9975005907523944	0.997542303189771	1.0	0.9423450690580685	0.8657702107708605	0.8494301976773263	0.9419360786095909	0.5217815048304045	0.9397820483434636
Nazollae_Amexicana	0.9268498799639379	0.9315320051669929	0.9116232695400021	0.9559405015433208	0.9561647605337036	0.923899395609699	1.0	0.8553506921839992	0.8419068585874558	0.918987877281866	0.5184032020569396	0.9690237135399445
Nazollae_Anilotica	0.863416281477573	0.8659067616768282	0.8534054577742294	0.8890227247398124	0.8891845450864857	0.8638268140302229	0.8712445243961489	1.0	0.9171421057591462	0.8575191786494528	0.4845180324744682	0.8667242587589198
Nazollae_Apinnata_nanopore	0.7897199631031472	0.7890335008885304	0.7706634655339581	0.8316772645246976	0.8318998637488421	0.7834201889441076	0.7958161955179558	0.853261726980971	1.0	0.7827576959310316	0.46715364749359756	0.7889588427197971
Nazollae_Arubra	0.9498110921932644	0.9527214574121875	0.9521381078924297	0.9922217936572334	0.9920815940461757	0.9645694946495446	0.9564383427001849	0.8778229532080075	0.864261459722609	1.0	0.5314673665726258	0.9530103664741244
Nazollae_Asp_nanopore	0.8675439054699899	0.8703894661695883	0.8369085828559563	0.9468965170337037	0.9466366278638594	0.8635175579962352	0.86145682389639	0.7957348511376762	0.8017996841347013	0.8616409389286246	1.0	0.8580266737862112
Nazollae_microphylla	0.927235272227647	0.9293720786092121	0.9157710676044425	0.9555941376418681	0.9559301485362164	0.9269174240843445	0.9724312142562735	0.8562015784669028	0.8410105011660279	0.9194308619401822	0.5165364624451066	1.0
