key	Azfi_mito_v1	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfi_mito_v1	1.0	0.6144874114523728	0.62231199645088	0.7541449702020697	0.6736819298951956	0.7285715929549732	0.019369900659197185	0.6777415831730871	0.3309777591296538	0.6931748321441668	0.389230927270543
illumina_Azcar1	0.8690176165694818	1.0	0.9291798149053421	0.9213378254090068	0.7927485429964044	0.8004330592529055	0.02488149881782297	0.6239359194263379	0.4732532507268106	0.7055218432266993	0.4416186636792596
illumina_Azcar2	0.8660796464649626	0.9489433730299959	1.0	0.8999403641711178	0.7619886246354293	0.7365485440035633	0.016471414327917284	0.5999585936086155	0.4772944749086742	0.6700727229325044	0.4402846694770469
illumina_Azfil_lab	0.9373911753801167	0.8494996654436164	0.8296870037275413	1.0	0.7962760239157568	0.8481405295117768	0.01411194201753953	0.8043065981665793	0.5228340865446557	0.714609859798071	0.5309817457408701
illumina_Azmexicana	0.8635202437318629	0.7923813746007107	0.8148451021347987	0.83746933510407	1.0	0.9294439906763654	0.0358414186026488	0.7545146554218377	0.31713219382095525	0.691948700744448	0.43137465067467834
illumina_Azmicrophylla	0.8683487077837598	0.7762019969215792	0.7813859195695486	0.827511517983037	0.8752595774395656	1.0	0.019397526180209443	0.7924901914449402	0.3038382018266752	0.6610290224831257	0.40251374804036505
illumina_Aznilotica	0.5769982480394128	0.5589091333199275	0.5763102116428716	0.5656808941618071	0.5581143253569273	0.5583075688719082	1.0	0.39943467993833365	0.0	0.5811582666398551	0.008043434546551377
illumina_Azrubra	0.8347804260002264	0.6585250006666081	0.6572182519442732	0.8211124050411002	0.6873192962448015	0.7845644132303865	0.023631554391437232	1.0	0.39752050795304544	0.5734058009514885	0.42293289625176594
nanopore_Azfil_lab	0.9777469653303342	0.880665192665011	0.8107628558216244	0.9269599147121534	0.6473414864453244	0.6497577534618898	0.0	0.6415225231338033	1.0	0.7771656049592085	0.8009112251146153
nanopore_Azpinnata	0.8339770503712768	0.5054805313156546	0.5122153880198004	0.5648792272934664	0.6612673914112497	0.5819897808985318	0.019722033734227	0.44020912610989493	0.2461336142181997	1.0	0.30955722481762243
nanopore_Azsp_bordeaux	0.9017714024308683	0.7122978388190382	0.66341878315423	0.8652785915575639	0.679713855956861	0.6796445693304087	0.0	0.6926580622313684	0.6043932101656112	0.7673073923473597	1.0
