key	Azfi_mito_v1	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfi_mito_v1	1.0	0.9822278021978024	0.9846391304347825	0.9972871962616823	0.9793621000000002	0.977837663551402	0.9752700000000001	0.9811345	0.9869525531914893	0.9500548113207548	0.9680901724137932
illumina_Azcar1	0.9805095757575758	1.0	0.9932194767441861	0.9825669186046512	0.9756836601307189	0.9767245751633987	0.9624733333333335	0.9730189430894309	0.9616890625000001	0.9431823076923077	0.961169
illumina_Azcar2	0.981489358974359	0.994070119760479	1.0	0.983328695652174	0.9756805755395683	0.9775371641791044	0.969665	0.9722058928571428	0.9653070652173914	0.9444564341085271	0.9648615662650601
illumina_Azfil_lab	0.9964057458563538	0.9812736686390534	0.9839005487804877	1.0	0.9786113664596273	0.9773817058823531	0.9561666666666667	0.9829749068322983	0.9784243396226419	0.945993947368421	0.9644600892857144
illumina_Azmexicana	0.9759482795698924	0.9736042441860466	0.9757306250000001	0.9770042222222223	1.0	0.9938402590673575	0.9237974999999999	0.9658436746987953	0.9506524657534248	0.9403251923076924	0.9777526086956523
illumina_Azmicrophylla	0.9737799378881988	0.974977808219178	0.9759194520547948	0.9759235947712417	0.9940367088607598	1.0	0.9317785714285716	0.9662493288590605	0.9494612499999999	0.9397994696969697	0.9759451282051282
illumina_Aznilotica	0.9769875	0.9674399999999999	0.9758225	0.9693766666666666	0.9627133333333332	0.9630466666666666	1.0	0.9848233333333333	0.0	0.97441	1.0
illumina_Azrubra	0.9810922	0.9713613333333335	0.9726186666666666	0.9849904794520549	0.9690333070866142	0.9695264583333334	0.94487	1.0	0.9619888607594936	0.9348105357142857	0.9514628915662651
nanopore_Azfil_lab	0.9869740476190476	0.96614425	0.9683097222222222	0.9853479999999999	0.9551560000000001	0.9527919999999999	0.0	0.9586337931034484	1.0	0.9311805405405407	0.9579108333333334
nanopore_Azpinnata	0.9520642222222224	0.9454624096385542	0.9483880952380953	0.9479934782608694	0.9470935185185184	0.9443723958333334	0.96757	0.940110945945946	0.9291128571428571	1.0	0.9308619230769231
nanopore_Azsp_bordeaux	0.9693721818181821	0.9683961363636363	0.9697492682926828	0.968251886792453	0.9805597560975611	0.9815307317073172	0.0	0.9615595348837208	0.9558824324324325	0.9323267999999999	1.0
