key	Azfil_cp1_4	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfil_cp1_4	1.0	0.9926929197846477	0.9930382961432973	0.9930518403142248	0.9847018589374598	0.9778011038499306	0.9161954423864829	0.9899976297700877	0.9994243727355839	0.9085836183252632	0.9685368909355636
illumina_Azcar1	0.9851293897090824	1.0	0.9998861772287503	0.9851762579090088	0.9819088748284289	0.9801144923169629	0.9244618526329885	0.9840514211107764	0.9915302467275954	0.9056610090053898	0.9794248602323323
illumina_Azcar2	0.9798498563607784	0.9925334706488157	1.0	0.9730202178979891	0.9806222559488319	0.9861713371998482	0.9221367011762155	0.9713670117621551	0.9863000704645238	0.9231191392487398	0.985730933925958
illumina_Azfil_lab	0.9981342906600031	0.9900989432137348	0.9932241747435492	1.0	0.9866436764577117	0.9829189931904977	0.9284160329765809	0.9968747684701857	0.9993601357859216	0.9120893923984131	0.9682694703944932
illumina_Azmexicana	0.970110443920223	0.9787690328114947	0.9856315676603046	0.963288119236543	1.0	0.9846933304739438	0.910512277503753	0.9569215097576668	0.9765239652584173	0.9012639395239116	0.9890963435556509
illumina_Azmicrophylla	0.9751408014228354	0.9761041795790778	0.9777008272925706	0.9693066372039127	0.9961464873750303	1.0	0.9136193376269908	0.9734700476973241	0.9757875448004527	0.8998962515831739	0.9822684523969927
illumina_Aznilotica	0.9253334445684253	0.926324132105576	0.9315539194727457	0.9153118580084052	0.9137736852533553	0.9180753548225626	1.0	0.9345051255044685	0.9250623090319419	0.9425088379756603	0.9080224833929484
illumina_Azrubra	0.9970307945161007	0.9857829842206005	0.986526976483081	0.9905174804363853	0.9766995150523162	0.9716065498373362	0.9231050178896322	1.0	0.9969293410257625	0.9202575565941387	0.9455059485563169
nanopore_Azfil_lab	0.9985672079436657	0.9847502054779306	0.9872548148477241	0.9935524357464958	0.9790801252860031	0.9728713597085545	0.8974109780749495	0.9864995446164783	1.0	0.9036752782282249	0.977552924450763
nanopore_Azpinnata	0.9229748025079194	0.9244535285689875	0.9302961395391632	0.9087264553950499	0.9216012303000828	0.9219692687863931	0.9232442592568252	0.9077537822526585	0.9228959371179958	1.0	0.9225607592108204
nanopore_Azsp_bordeaux	0.9752337749648573	0.9848360349592888	0.987239995382223	0.969047311842561	0.9942413603428021	0.9894470211942387	0.9050028182021908	0.9558730654569901	0.9766123172412856	0.905770184099907	1.0
