key	Azfil_cp1_4	illumina_Azcar1	illumina_Azcar2	illumina_Azfil_lab	illumina_Azmexicana	illumina_Azmicrophylla	illumina_Aznilotica	illumina_Azrubra	nanopore_Azfil_lab	nanopore_Azpinnata	nanopore_Azsp_bordeaux
Azfil_cp1_4	1.0	0.9627745244139517	0.9631687314763029	0.993024876198283	0.9533298731503743	0.9470336690183484	0.818250713862459	0.9822144609043744	0.9988299564741722	0.7972737073204254	0.9365198578009895
illumina_Azcar1	0.9559608477450772	1.0	0.999575199115657	0.9559952031121578	0.9598063078181386	0.9578494462146132	0.8236742677427832	0.9542218101345994	0.9619811714788004	0.7949238827702527	0.9558702960987956
illumina_Azcar2	0.9509673086437114	0.9922160667160146	1.0	0.9444516590749986	0.9588935868565279	0.9635776039916345	0.8230747189035228	0.942965198024016	0.9570138761708327	0.8088511710602909	0.9621827118104489
illumina_Azfil_lab	0.9980653100093677	0.9602782480840749	0.963231865973682	1.0	0.9552633391713061	0.9521250223715574	0.827340838405901	0.9891457798971365	0.9987668854916164	0.7982014826034538	0.9360491865331122
illumina_Azmexicana	0.93945219177233	0.9568620893164826	0.9634641736315324	0.9328895754312705	1.0	0.980592252527232	0.8135041221465352	0.9262326999955448	0.9454630277038795	0.7909555487523304	0.9764261548873528
illumina_Azmicrophylla	0.9432619691003483	0.9541472882584484	0.9556156444463235	0.9376768153727307	0.9923060377233974	1.0	0.8143646596473921	0.9420148807009362	0.9438158322472195	0.7876667086977739	0.9699654384167427
illumina_Aznilotica	0.8250860399577499	0.825485904411104	0.829765908483992	0.8168794253371441	0.814851084348064	0.8176718950098214	1.0	0.8305998876507624	0.8247959808495114	0.8495090455042656	0.8094310761540724
illumina_Azrubra	0.9885781437857759	0.9553160107056132	0.9560389008375981	0.9820513375688391	0.9445206339607046	0.9410992512079541	0.8226258336175409	1.0	0.9882616846796074	0.8052289115847324	0.914931798059243
nanopore_Azfil_lab	0.9979319048177532	0.9518505963403724	0.9542237929739801	0.9928922878951536	0.9445542913274033	0.9390702862070116	0.7947531814031501	0.9771116203500902	1.0	0.7830014212401954	0.9422026555967746
nanopore_Azpinnata	0.8079194744623664	0.8102131170989266	0.8139293362820226	0.7966736518842537	0.8075854952126043	0.8077548776152541	0.8332513197381894	0.7964242832091575	0.8080330187042416	1.0	0.8070399589582856
nanopore_Azsp_bordeaux	0.9431150302708015	0.9606860772059127	0.9629019928377298	0.9370122455394885	0.9816956114477785	0.9767063791411915	0.8070835243900875	0.9255961274918777	0.9445814820728008	0.7924222364631421	1.0
